contrast_id	title	Geneid
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00288
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08805
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05328
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05381
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_03997
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05394
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10962
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01265
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08582
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00363
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07621
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04479
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00866
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05591
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06606
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04579
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09753
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05096
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05188
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09231
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06859
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_03078
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00819
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08352
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00882
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08380
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08365
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00852
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07205
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_13380
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07423
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01206
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02801
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_03786
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_12026
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06619
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06815
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_03127
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05323
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06163
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05308
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01242
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02279
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_13194
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04897
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08605
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06534
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00185
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01283
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09772
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09282
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02967
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07150
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05127
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01521
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02125
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05644
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08223
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06817
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04170
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08066
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05584
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_03121
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07451
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_11067
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07386
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09669
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06748
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10374
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08947
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08685
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_03990
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01939
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_13536
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07086
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_13492
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06662
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04086
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08843
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09330
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07622
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05789
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05613
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10012
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00801
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02941
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04322
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06997
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_12255
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05886
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07256
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05685
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08001
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01995
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06231
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01469
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09382
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09008
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06439
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07882
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10284
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_13856
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_11573
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05761
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_03154
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09843
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04000
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_14001
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05357
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04966
