	SRR10408671	SRR10408672	SRR10408673	SRR10408674	SRR10408675	SRR10408676	SRR10408683	SRR10408684	SRR10408685	SRR10408686	SRR10408687	SRR10408688
gene:FGSG_00006	1.17197271617238	0.92300420497868	1.08000827972239	0	2.26509016716787	0	88.4659475274601	113.309125714207	96.3684502181028	143.631653550569	213.9743506301	177.344765483874
gene:FGSG_00007	3.51591814851716	1.84600840995736	1.08000827972239	0.91911767688127	10.1929057522554	2.32384422417183	9469.9520311571	9312.99162471264	9408.60395550424	5408.47467852487	5372.52796295448	5595.6940477675
gene:FGSG_00011	67.3884311799121	62.3027838360609	43.2003311888955	89.6139734959239	76.4467931419158	59.8389887724245	81.0937852335051	72.5687659068517	62.1322902721978	69.3394189554471	47.7012883570286	28.0018050764012
gene:FGSG_00018	1423.94685014945	1457.42363966134	1460.17119418467	1100.64341806532	1414.54880939634	1594.15713778187	1951.98474961053	2089.21657637094	2030.07748419977	1609.66508289431	1730.87532038361	1474.76173402379
gene:FGSG_00020	2.34394543234477	4.6150210248934	9.72007451750148	7.35294141505016	7.92781558508756	2.32384422417183	0	0	0	0	0	9.33393502546705
gene:FGSG_00021	19.9235361749305	27.2286240468711	39.4203022098671	34.4669128830476	36.241442674686	16.8478706252457	4.91477486263668	6.36568121989928	7.60803554353443	0	2.72578790611592	28.0018050764012
gene:FGSG_00024	393.196846275835	343.357564252069	378.002897902835	417.738984142537	390.728053836458	302.099749142337	90.9233349587785	110.762853226247	81.1523791310339	64.3866033157723	40.8868185917388	102.673285280138
gene:FGSG_00025	29.8853042623958	28.6131303543391	28.6202194126432	23.897059598913	49.8319836776933	34.2767023065344	71.2642355082318	75.1150383948114	78.6163672831891	59.4337876760975	106.305728338521	130.675090356539
gene:FGSG_00026	3.51591814851716	8.30703784480812	10.8000827972239	6.43382373816889	4.53018033433575	11.6192211208591	22.9356160256378	30.5552698555165	13.9480651631465	4.95281563967479	31.3465609203331	37.3357401018682
gene:FGSG_00029	3.51591814851716	1.84600840995736	9.72007451750148	5.97426489972826	10.1929057522554	10.4572990087732	4.0956457188639	5.09254497591942	2.53601184784481	9.90563127934958	2.72578790611592	9.33393502546705
gene:FGSG_00030	42.1910177822059	33.2281513792325	42.6603270490343	39.062501267454	30.0124447149743	31.3718970263196	9.82954972527335	2.54627248795971	10.1440473913792	0	9.54025767140572	9.33393502546705
gene:FGSG_00032	256.076038483666	341.050053739622	329.942529455189	383.73163009793	391.860598920042	328.24299666427	13.1060663003645	24.1895886356172	8.87604146745683	19.8112625586992	17.7176213897535	28.0018050764012
gene:FGSG_00033	487.540649927712	429.658457417575	416.34319183298	581.341930627403	510.211560154564	461.86403955415	9.01042058150057	16.5507711717381	21.5561007066809	9.90563127934958	9.54025767140572	14.0009025382006
gene:FGSG_00036	4.68789086468954	7.84553574231878	9.72007451750148	7.35294141505016	16.9881762537591	9.2953768966873	58040.214611164	57345.8758375846	56336.2351939485	69458.2865307993	71012.226530132	68511.0830869282
gene:FGSG_00038	8.78979537129289	7.38403363982944	12.4200952168074	10.5698532841346	10.7591782940474	15.1049874571169	3.27651657509112	1.27313624397986	6.34002961961202	0	6.8144697652898	14.0009025382006
gene:FGSG_00039	328.152360528268	290.746324568284	198.721523468919	379.595600551965	381.667693167787	323.595308215927	60.6155566391857	76.3881746387913	58.3282725004306	118.867575352195	61.3302278876082	84.0054152292035
gene:FGSG_00043	79.6941446997222	93.684926805336	78.300600279873	86.85662046528	129.676412070361	74.9439762295414	18945.6379663206	19718.33414676	19164.6415341632	21445.6917197918	21815.8435065988	19946.6191494231
gene:FGSG_00044	11.7197271617239	25.844117739403	17.2801324755582	13.7867651532191	20.3858115045109	15.1049874571169	11939.626399632	12303.5886618213	12094.2405023719	13189.348048454	12256.5053198502	12918.1660752464
gene:FGSG_00045	602.393976112606	494.730253868572	485.463721735213	676.470610184615	588.357170921856	629.180823694522	3309.28174084203	3187.93315492556	3196.64293420838	2927.1140430478	3086.95480367628	3350.88267414267
gene:FGSG_00046	23.4394543234477	46.150210248934	35.6402732308388	25.7352949526756	45.8680758851495	33.1147801944485	28354.1553116948	27189.0976264338	27461.2042943875	32059.5756356149	31256.6099194313	31212.6787251618
gene:FGSG_00047	0	1.84600840995736	1.08000827972239	0	4.53018033433575	3.48576633625774	5172.8005429251	5208.40037412159	5551.32993493229	6339.60401878373	6142.56304643223	6585.09116046701
gene:FGSG_00048	12.30571351981	25.3826156369137	6.48004967833432	3.67647070752508	40.7716230090218	11.6192211208591	31812.5185567034	29087.3437662077	30820.151986858	33520.656249319	37162.0294180314	32533.4305312654
gene:FGSG_00049	5.85986358086193	10.1530462547655	8.64006623777909	2.75735303064381	31.7112623403502	6.97153267251548	29635.2732925554	27814.2075222279	29908.4557275578	39315.4505477385	38995.1217848944	37956.4467810618
gene:FGSG_00050	68.5604038960845	57.6877628111675	63.7204885036208	62.5000020279264	80.4107009344596	73.2010930614125	9531.38671694006	9314.26476095662	9728.14144833269	9435.11379358048	8777.03705769326	8381.87365286942
gene:FGSG_00051	233.222570518305	232.597059654627	280.262148587959	295.496333117328	284.268815979568	242.841721425956	332.566432371748	420.134960513352	390.545824568101	336.791463497886	301.199563625809	326.687725891347
gene:FGSG_00052	9.37578172937908	4.15351892240406	6.48004967833432	6.43382373816889	9.62663321046347	11.6192211208591	1415.45516043936	1297.32583261547	1331.40622011852	2164.38043453788	2049.79250539917	1918.12364773348
gene:FGSG_00053	1.17197271617238	0.92300420497868	5.40004139861193	1.83823535376254	3.39763525075181	6.97153267251548	20650.2457145118	20421.1053534369	20323.5989486283	16156.0846166192	14670.1905107159	14234.2509138373
gene:FGSG_00054	2.34394543234477	5.53802522987208	8.64006623777909	2.75735303064381	1.13254508358394	4.64768844834365	1181.18422532035	1178.92416192535	1151.34937892154	1079.7138094491	1087.58937454025	1297.41696853992
gene:FGSG_00058	15.8216316683272	24.9211135344244	9.72007451750148	28.95220682176	17.554448795551	19.7526759054605	21.2973577380923	17.823907415718	32.9681540219825	9.90563127934958	55.8786520753764	37.3357401018682
gene:FGSG_00059	607.667853335382	716.251263063456	941.767219917921	494.025751323683	638.755427141341	687.85789035486	1070.60179091102	980.314907864488	924.376318539433	1079.7138094491	824.550841600066	1040.73375533958
gene:FGSG_00062	5.85986358086193	3.69201681991472	3.24002483916716	1.83823535376254	1.69881762537591	4.0667273923007	9.82954972527335	12.7313624397986	11.4120533153016	9.90563127934958	9.54025767140572	0
gene:FGSG_00064	37.5031269175163	53.9957459912528	62.1004760840372	69.3933846045359	66.2538873896603	39.505351810921	10.6486788690461	11.4582261958187	20.2880947827585	4.95281563967479	25.8949851081012	18.6678700509341
gene:FGSG_00066	24.0254406815339	27.6901261493604	29.7002276923656	30.3308833370819	18.120721337343	31.3718970263196	95.0189806776424	95.4852182984891	106.512497609482	69.3394189554471	73.5962734651299	60.6705776655359
gene:FGSG_00067	2.34394543234477	1.84600840995736	0	0.91911767688127	1.13254508358394	2.32384422417183	25.3930034569562	25.4627248795971	41.8441954894394	39.6225251173983	58.6044399814923	37.3357401018682
gene:FGSG_00069	76.178226551205	66.4563027584649	54.0004139861193	58.3639724819607	62.2899795971166	67.3914825009829	53.2433943452306	62.3836759550129	68.4723198918099	49.5281563967479	54.5157581223184	135.342057869272
gene:FGSG_00070	2.34394543234477	3.69201681991472	5.94004553847313	8.27205909193143	5.66272541791969	2.32384422417183	3.27651657509112	5.09254497591942	2.53601184784481	0	2.72578790611592	0
gene:FGSG_00071	62.1145539571364	80.7628679356345	62.1004760840372	71.2316199582985	151.761041200248	84.8203141822716	133799.011731277	129672.74585808	133181.198201418	103583.186288159	99804.7241824344	97992.3168648659
