Geneid	gene_id	gene_name	gene_biotype
gene:FGSG_11665	gene:FGSG_11665	gene:FGSG_11665	NA
gene:FGSG_11666	gene:FGSG_11666	gene:FGSG_11666	NA
gene:FGSG_11667	gene:FGSG_11667	gene:FGSG_11667	NA
gene:FGSG_00058	gene:FGSG_00058	gene:FGSG_00058	NA
gene:FGSG_00059	gene:FGSG_00059	gene:FGSG_00059	NA
gene:FGSG_00060	gene:FGSG_00060	gene:FGSG_00060	NA
gene:FGSG_00061	gene:FGSG_00061	gene:FGSG_00061	NA
gene:FGSG_00062	gene:FGSG_00062	gene:FGSG_00062	NA
gene:FGSG_00063	gene:FGSG_00063	gene:FGSG_00063	NA
gene:FGSG_00064	gene:FGSG_00064	gene:FGSG_00064	NA
gene:FGSG_11668	gene:FGSG_11668	gene:FGSG_11668	NA
gene:FGSG_00065	gene:FGSG_00065	gene:FGSG_00065	NA
gene:FGSG_00066	gene:FGSG_00066	gene:FGSG_00066	NA
gene:FGSG_00067	gene:FGSG_00067	gene:FGSG_00067	NA
gene:FGSG_00068	gene:FGSG_00068	gene:FGSG_00068	NA
gene:FGSG_00069	gene:FGSG_00069	gene:FGSG_00069	NA
gene:FGSG_00070	gene:FGSG_00070	gene:FGSG_00070	NA
gene:FGSG_00071	gene:FGSG_00071	gene:FGSG_00071	NA
gene:FGSG_00072	gene:FGSG_00072	gene:FGSG_00072	NA
gene:FGSG_00073	gene:FGSG_00073	gene:FGSG_00073	NA
gene:FGSG_00074	gene:FGSG_00074	gene:FGSG_00074	NA
gene:FGSG_00075	gene:FGSG_00075	gene:FGSG_00075	NA
gene:FGSG_00076	gene:FGSG_00076	gene:FGSG_00076	NA
gene:FGSG_00077	gene:FGSG_00077	gene:FGSG_00077	NA
gene:FGSG_00078	gene:FGSG_00078	gene:FGSG_00078	NA
gene:FGSG_00079	gene:FGSG_00079	gene:FGSG_00079	NA
gene:FGSG_00080	gene:FGSG_00080	gene:FGSG_00080	NA
gene:FGSG_00081	gene:FGSG_00081	gene:FGSG_00081	NA
gene:FGSG_00082	gene:FGSG_00082	gene:FGSG_00082	NA
gene:FGSG_00083	gene:FGSG_00083	gene:FGSG_00083	NA
gene:FGSG_00084	gene:FGSG_00084	gene:FGSG_00084	NA
gene:FGSG_00085	gene:FGSG_00085	gene:FGSG_00085	NA
gene:FGSG_11669	gene:FGSG_11669	gene:FGSG_11669	NA
gene:FGSG_11670	gene:FGSG_11670	gene:FGSG_11670	NA
gene:FGSG_00087	gene:FGSG_00087	gene:FGSG_00087	NA
gene:FGSG_11671	gene:FGSG_11671	gene:FGSG_11671	NA
gene:FGSG_11672	gene:FGSG_11672	gene:FGSG_11672	NA
gene:FGSG_00089	gene:FGSG_00089	gene:FGSG_00089	NA
gene:FGSG_00090	gene:FGSG_00090	gene:FGSG_00090	NA
gene:FGSG_00091	gene:FGSG_00091	gene:FGSG_00091	NA
gene:FGSG_11673	gene:FGSG_11673	gene:FGSG_11673	NA
gene:FGSG_00092	gene:FGSG_00092	gene:FGSG_00092	NA
gene:FGSG_00093	gene:FGSG_00093	gene:FGSG_00093	NA
gene:FGSG_00094	gene:FGSG_00094	gene:FGSG_00094	NA
gene:FGSG_00095	gene:FGSG_00095	gene:FGSG_00095	NA
gene:FGSG_00096	gene:FGSG_00096	gene:FGSG_00096	NA
gene:FGSG_00097	gene:FGSG_00097	gene:FGSG_00097	NA
gene:FGSG_11674	gene:FGSG_11674	gene:FGSG_11674	NA
gene:FGSG_11675	gene:FGSG_11675	gene:FGSG_11675	NA
gene:FGSG_00099	gene:FGSG_00099	gene:FGSG_00099	NA
gene:FGSG_00100	gene:FGSG_00100	gene:FGSG_00100	NA
gene:FGSG_00101	gene:FGSG_00101	gene:FGSG_00101	NA
gene:FGSG_00102	gene:FGSG_00102	gene:FGSG_00102	NA
gene:FGSG_00103	gene:FGSG_00103	gene:FGSG_00103	NA
gene:FGSG_00104	gene:FGSG_00104	gene:FGSG_00104	NA
gene:FGSG_00105	gene:FGSG_00105	gene:FGSG_00105	NA
gene:FGSG_11676	gene:FGSG_11676	gene:FGSG_11676	NA
gene:FGSG_11677	gene:FGSG_11677	gene:FGSG_11677	NA
gene:FGSG_11678	gene:FGSG_11678	gene:FGSG_11678	NA
gene:FGSG_00107	gene:FGSG_00107	gene:FGSG_00107	NA
gene:FGSG_00108	gene:FGSG_00108	gene:FGSG_00108	NA
gene:FGSG_00109	gene:FGSG_00109	gene:FGSG_00109	NA
gene:FGSG_00110	gene:FGSG_00110	gene:FGSG_00110	NA
gene:FGSG_00111	gene:FGSG_00111	gene:FGSG_00111	NA
gene:FGSG_00112	gene:FGSG_00112	gene:FGSG_00112	NA
gene:FGSG_11679	gene:FGSG_11679	gene:FGSG_11679	NA
gene:FGSG_00114	gene:FGSG_00114	gene:FGSG_00114	NA
gene:FGSG_00115	gene:FGSG_00115	gene:FGSG_00115	NA
gene:FGSG_00116	gene:FGSG_00116	gene:FGSG_00116	NA
gene:FGSG_00117	gene:FGSG_00117	gene:FGSG_00117	NA
gene:FGSG_00118	gene:FGSG_00118	gene:FGSG_00118	NA
gene:FGSG_00119	gene:FGSG_00119	gene:FGSG_00119	NA
gene:FGSG_00120	gene:FGSG_00120	gene:FGSG_00120	NA
gene:FGSG_00121	gene:FGSG_00121	gene:FGSG_00121	NA
gene:FGSG_00122	gene:FGSG_00122	gene:FGSG_00122	NA
gene:FGSG_00123	gene:FGSG_00123	gene:FGSG_00123	NA
gene:FGSG_00124	gene:FGSG_00124	gene:FGSG_00124	NA
gene:FGSG_00125	gene:FGSG_00125	gene:FGSG_00125	NA
gene:FGSG_00126	gene:FGSG_00126	gene:FGSG_00126	NA
gene:FGSG_00127	gene:FGSG_00127	gene:FGSG_00127	NA
gene:FGSG_00128	gene:FGSG_00128	gene:FGSG_00128	NA
gene:FGSG_00129	gene:FGSG_00129	gene:FGSG_00129	NA
gene:FGSG_00130	gene:FGSG_00130	gene:FGSG_00130	NA
gene:FGSG_00131	gene:FGSG_00131	gene:FGSG_00131	NA
gene:FGSG_00132	gene:FGSG_00132	gene:FGSG_00132	NA
gene:FGSG_11680	gene:FGSG_11680	gene:FGSG_11680	NA
gene:FGSG_11681	gene:FGSG_11681	gene:FGSG_11681	NA
gene:FGSG_00134	gene:FGSG_00134	gene:FGSG_00134	NA
gene:FGSG_00135	gene:FGSG_00135	gene:FGSG_00135	NA
gene:FGSG_00136	gene:FGSG_00136	gene:FGSG_00136	NA
gene:FGSG_00137	gene:FGSG_00137	gene:FGSG_00137	NA
gene:FGSG_00138	gene:FGSG_00138	gene:FGSG_00138	NA
gene:FGSG_00139	gene:FGSG_00139	gene:FGSG_00139	NA
gene:FGSG_00140	gene:FGSG_00140	gene:FGSG_00140	NA
gene:FGSG_11682	gene:FGSG_11682	gene:FGSG_11682	NA
gene:FGSG_00141	gene:FGSG_00141	gene:FGSG_00141	NA
gene:FGSG_00142	gene:FGSG_00142	gene:FGSG_00142	NA
gene:FGSG_00143	gene:FGSG_00143	gene:FGSG_00143	NA
gene:FGSG_00144	gene:FGSG_00144	gene:FGSG_00144	NA
gene:FGSG_00145	gene:FGSG_00145	gene:FGSG_00145	NA
gene:FGSG_11683	gene:FGSG_11683	gene:FGSG_11683	NA
gene:FGSG_11684	gene:FGSG_11684	gene:FGSG_11684	NA
gene:FGSG_00147	gene:FGSG_00147	gene:FGSG_00147	NA
gene:FGSG_00148	gene:FGSG_00148	gene:FGSG_00148	NA
gene:FGSG_11685	gene:FGSG_11685	gene:FGSG_11685	NA
gene:FGSG_11686	gene:FGSG_11686	gene:FGSG_11686	NA
gene:FGSG_00150	gene:FGSG_00150	gene:FGSG_00150	NA
gene:FGSG_11687	gene:FGSG_11687	gene:FGSG_11687	NA
gene:FGSG_00151	gene:FGSG_00151	gene:FGSG_00151	NA
gene:FGSG_00152	gene:FGSG_00152	gene:FGSG_00152	NA
gene:FGSG_00153	gene:FGSG_00153	gene:FGSG_00153	NA
gene:FGSG_00154	gene:FGSG_00154	gene:FGSG_00154	NA
gene:FGSG_11688	gene:FGSG_11688	gene:FGSG_11688	NA
gene:FGSG_11689	gene:FGSG_11689	gene:FGSG_11689	NA
gene:FGSG_00156	gene:FGSG_00156	gene:FGSG_00156	NA
gene:FGSG_00157	gene:FGSG_00157	gene:FGSG_00157	NA
gene:FGSG_00158	gene:FGSG_00158	gene:FGSG_00158	NA
gene:FGSG_11690	gene:FGSG_11690	gene:FGSG_11690	NA
gene:FGSG_11691	gene:FGSG_11691	gene:FGSG_11691	NA
gene:FGSG_00160	gene:FGSG_00160	gene:FGSG_00160	NA
gene:FGSG_00161	gene:FGSG_00161	gene:FGSG_00161	NA
gene:FGSG_00162	gene:FGSG_00162	gene:FGSG_00162	NA
gene:FGSG_00163	gene:FGSG_00163	gene:FGSG_00163	NA
gene:FGSG_11692	gene:FGSG_11692	gene:FGSG_11692	NA
gene:FGSG_11693	gene:FGSG_11693	gene:FGSG_11693	NA
gene:FGSG_00164	gene:FGSG_00164	gene:FGSG_00164	NA
gene:FGSG_00165	gene:FGSG_00165	gene:FGSG_00165	NA
gene:FGSG_00166	gene:FGSG_00166	gene:FGSG_00166	NA
gene:FGSG_11694	gene:FGSG_11694	gene:FGSG_11694	NA
gene:FGSG_11695	gene:FGSG_11695	gene:FGSG_11695	NA
gene:FGSG_00168	gene:FGSG_00168	gene:FGSG_00168	NA
gene:FGSG_00169	gene:FGSG_00169	gene:FGSG_00169	NA
gene:FGSG_00170	gene:FGSG_00170	gene:FGSG_00170	NA
gene:FGSG_00171	gene:FGSG_00171	gene:FGSG_00171	NA
gene:FGSG_11696	gene:FGSG_11696	gene:FGSG_11696	NA
gene:FGSG_00172	gene:FGSG_00172	gene:FGSG_00172	NA
gene:FGSG_00173	gene:FGSG_00173	gene:FGSG_00173	NA
gene:FGSG_00174	gene:FGSG_00174	gene:FGSG_00174	NA
gene:FGSG_00175	gene:FGSG_00175	gene:FGSG_00175	NA
gene:FGSG_00176	gene:FGSG_00176	gene:FGSG_00176	NA
gene:FGSG_00177	gene:FGSG_00177	gene:FGSG_00177	NA
gene:FGSG_11697	gene:FGSG_11697	gene:FGSG_11697	NA
gene:FGSG_11698	gene:FGSG_11698	gene:FGSG_11698	NA
gene:FGSG_20500	gene:FGSG_20500	gene:FGSG_20500	NA
gene:FGSG_20501	gene:FGSG_20501	gene:FGSG_20501	NA
gene:FGSG_11699	gene:FGSG_11699	gene:FGSG_11699	NA
gene:FGSG_00179	gene:FGSG_00179	gene:FGSG_00179	NA
gene:FGSG_00180	gene:FGSG_00180	gene:FGSG_00180	NA
gene:FGSG_11700	gene:FGSG_11700	gene:FGSG_11700	NA
gene:FGSG_00181	gene:FGSG_00181	gene:FGSG_00181	NA
gene:FGSG_00182	gene:FGSG_00182	gene:FGSG_00182	NA
gene:FGSG_00183	gene:FGSG_00183	gene:FGSG_00183	NA
gene:FGSG_00184	gene:FGSG_00184	gene:FGSG_00184	NA
gene:FGSG_00185	gene:FGSG_00185	gene:FGSG_00185	NA
gene:FGSG_00186	gene:FGSG_00186	gene:FGSG_00186	NA
gene:FGSG_11701	gene:FGSG_11701	gene:FGSG_11701	NA
gene:FGSG_11702	gene:FGSG_11702	gene:FGSG_11702	NA
gene:FGSG_00188	gene:FGSG_00188	gene:FGSG_00188	NA
gene:FGSG_00189	gene:FGSG_00189	gene:FGSG_00189	NA
gene:FGSG_00190	gene:FGSG_00190	gene:FGSG_00190	NA
gene:FGSG_11703	gene:FGSG_11703	gene:FGSG_11703	NA
gene:FGSG_11704	gene:FGSG_11704	gene:FGSG_11704	NA
gene:FGSG_00192	gene:FGSG_00192	gene:FGSG_00192	NA
gene:FGSG_00193	gene:FGSG_00193	gene:FGSG_00193	NA
gene:FGSG_00194	gene:FGSG_00194	gene:FGSG_00194	NA
gene:FGSG_00195	gene:FGSG_00195	gene:FGSG_00195	NA
gene:FGSG_00196	gene:FGSG_00196	gene:FGSG_00196	NA
