contrast_id	contrast_title	rank_by_padj	Geneid	gene_id	locus_tag	product	padj	log2FoldChange
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	32	gene:FGSG_01956	FGSG_01956	FGSG_01956	uncharacterized protein	0	-4.61339302627757
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	33	gene:FGSG_02022	FGSG_02022	FGSG_02022	1,3-beta-glucanosyltransferase gel4 precursor	0	3.10437391196915
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	34	gene:FGSG_02075	FGSG_02075	FGSG_02075	uncharacterized protein	0	-4.76680460374253
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	35	gene:FGSG_02077	FGSG_02077	FGSG_02077	uncharacterized protein	0	-2.52744169652753
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	36	gene:FGSG_02094	FGSG_02094	FGSG_02094	uncharacterized protein	0	6.91628044630552
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	37	gene:FGSG_02099	FGSG_02099	FGSG_02099	60S ribosomal protein L16	0	-3.53900366120651
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	38	gene:FGSG_02271	FGSG_02271	FGSG_02271	uncharacterized protein	0	10.9755584287392
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	39	gene:FGSG_02272	FGSG_02272	FGSG_02272	uncharacterized protein	0	6.32312460277313
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	40	gene:FGSG_02322	FGSG_02322	FGSG_02322	uncharacterized protein	0	6.24237839585284
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	41	gene:FGSG_02323	FGSG_02323	FGSG_02323	uncharacterized protein	0	4.89619234476025
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	42	gene:FGSG_02364	FGSG_02364	FGSG_02364	uncharacterized protein	0	4.19491523622252
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	43	gene:FGSG_02503	FGSG_02503	FGSG_02503	uncharacterized protein	0	-3.83512477131035
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	44	gene:FGSG_02541	FGSG_02541	FGSG_02541	40S ribosomal protein S14	0	-3.95807466164867
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	45	gene:FGSG_02577	FGSG_02577	FGSG_02577	uncharacterized protein	0	4.39239392083762
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	46	gene:FGSG_02588	FGSG_02588	FGSG_02588	40S ribosomal protein S19	0	-4.39623355685538
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	47	gene:FGSG_02697	FGSG_02697	FGSG_02697	uncharacterized protein	0	3.79554565937045
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	48	gene:FGSG_02753	FGSG_02753	FGSG_02753	uncharacterized protein	0	5.06485235297063
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	49	gene:FGSG_02901	FGSG_02901	FGSG_02901	uncharacterized protein	0	3.22174748176662
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	50	gene:FGSG_03270	FGSG_03270	FGSG_03270	uncharacterized protein	0	5.94433697852156
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	1	gene:FGSG_00036	FGSG_00036	FGSG_00036	uncharacterized protein	0	12.6335215954152
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	2	gene:FGSG_00043	FGSG_00043	FGSG_00043	uncharacterized protein	0	7.76316392180787
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	3	gene:FGSG_00044	FGSG_00044	FGSG_00044	uncharacterized protein	0	9.61731653354231
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	4	gene:FGSG_00046	FGSG_00046	FGSG_00046	uncharacterized protein	0	9.83298823801782
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	5	gene:FGSG_00050	FGSG_00050	FGSG_00050	uncharacterized protein	0	6.95125995849414
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	6	gene:FGSG_00071	FGSG_00071	FGSG_00071	uncharacterized protein	0	9.94003895664741
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	7	gene:FGSG_00136	FGSG_00136	FGSG_00136	uncharacterized protein	0	9.12378895331631
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	8	gene:FGSG_00278	FGSG_00278	FGSG_00278	biotin synthase	0	-3.03564901765033
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	9	gene:FGSG_00330	FGSG_00330	FGSG_00330	acetyl-coenzyme A synthetase	0	2.78687392566522
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	10	gene:FGSG_00415	FGSG_00415	FGSG_00415	uncharacterized protein	0	-2.89170704276069
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	11	gene:FGSG_00620	FGSG_00620	FGSG_00620	ammonium transporter MEP2	0	4.39199179401654
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	12	gene:FGSG_00631	FGSG_00631	FGSG_00631	40S ribosomal protein S8-B	0	-5.23271220060913
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	13	gene:FGSG_00633	FGSG_00633	FGSG_00633	uncharacterized protein	0	3.50777155887183
