Strand	Read	Position	nMethylated	nUnmethylated
OT	1	1	196385	8950258
OT	2	1	106258	9288690
OT	1	2	108861	7503821
OT	2	2	104791	9096229
OT	1	3	97998	8612880
OT	2	3	108136	9198461
OT	1	4	95636	9203950
OT	2	4	67176	9386368
OT	1	5	79330	9290439
OT	2	5	63804	9341778
OT	1	6	77430	9707753
OT	2	6	61229	9439669
OT	1	7	64957	8765019
OT	2	7	62455	9245173
OT	1	8	70225	9712002
OT	2	8	62004	9420093
OT	1	9	67140	9532371
OT	2	9	60297	9386708
OT	1	10	65012	9463333
OT	2	10	59504	9409761
OT	1	11	64301	9486366
OT	2	11	58178	9395383
OT	1	12	63108	9585708
OT	2	12	57588	9413912
OT	1	13	61893	9421861
OT	2	13	57961	9411921
OT	1	14	61420	9380948
OT	2	14	56869	9378956
OT	1	15	61060	9509168
OT	2	15	60018	9375472
OT	1	16	60190	9439361
OT	2	16	57722	9427319
OT	1	17	63521	9350123
OT	2	17	56303	9364565
OT	1	18	60529	9494926
OT	2	18	58680	9386269
OT	1	19	58645	9288906
OT	2	19	58111	9376584
OT	1	20	58411	9353835
OT	2	20	57930	9360487
OT	1	21	59666	9574026
OT	2	21	56483	9413376
OT	1	22	66714	9535107
OT	2	22	56626	9443286
OT	1	23	58520	9486469
OT	2	23	56197	9398334
OT	1	24	58918	9549667
OT	2	24	56394	9415071
OT	1	25	58129	9454807
OT	2	25	55699	9428151
OT	1	26	58275	9448721
OT	2	26	56869	9383910
OT	1	27	58326	9563855
OT	2	27	55267	9418351
OT	1	28	58095	9473683
OT	2	28	56935	9424277
OT	1	29	57614	9457519
OT	2	29	55465	9390879
OT	1	30	57978	9556742
OT	2	30	56722	9403318
OT	1	31	57671	9475457
OT	2	31	55506	9435102
OT	1	32	57356	9440911
OT	2	32	56116	9383109
OT	1	33	57296	9544438
OT	2	33	55740	9412493
OT	1	34	57108	9453004
OT	2	34	55572	9418574
OT	1	35	57551	9425889
OT	2	35	56142	9361627
OT	1	36	56960	9536199
OT	2	36	56138	9385033
OT	1	37	56816	9451550
OT	2	37	55104	9415736
OT	1	38	56765	9425267
OT	2	38	55014	9366780
OT	1	39	57836	9517930
OT	2	39	54835	9395457
OT	1	40	56942	9436297
OT	2	40	54547	9412863
OT	1	41	56486	9406598
OT	2	41	54560	9364957
OT	1	42	57146	9494670
OT	2	42	55013	9385815
OT	1	43	56249	9420927
OT	2	43	54634	9403027
OT	1	44	56145	9396909
OT	2	44	55798	9334131
OT	1	45	56994	9485688
OT	2	45	55789	9365901
OT	1	46	58213	9383529
OT	2	46	54492	9389135
OT	1	47	57181	9366814
OT	2	47	54603	9330195
OT	1	48	56227	9465431
OT	2	48	54629	9353870
OT	1	49	55870	9375840
OT	2	49	54688	9362804
OT	1	50	55872	9351359
OT	2	50	54355	9315685
OT	1	51	55689	9446795
OT	2	51	56534	9314331
OT	1	52	55887	9360159
OT	2	52	55362	9345916
OT	1	53	54794	9335366
OT	2	53	54259	9293280
OT	1	54	55426	9421970
OT	2	54	55540	9299519
OT	1	55	55221	9327797
OT	2	55	55021	9322213
OT	1	56	55355	9299588
OT	2	56	54116	9268746
OT	1	57	57828	9363081
OT	2	57	55089	9268107
OT	1	58	55033	9303519
OT	2	58	54348	9294305
OT	1	59	54703	9269133
OT	2	59	55630	9219020
