Strand	Read	Position	nMethylated	nUnmethylated
OT	1	1	188703	9093826
OT	2	1	100171	9182019
OT	1	2	94302	6738686
OT	2	2	99026	8819060
OT	1	3	89928	8114975
OT	2	3	104665	8949288
OT	1	4	91917	8947875
OT	2	4	64915	9173211
OT	1	5	79274	9223992
OT	2	5	62054	9175037
OT	1	6	77252	9583806
OT	2	6	60373	9243234
OT	1	7	64272	8528951
OT	2	7	60973	9065770
OT	1	8	68707	9436478
OT	2	8	61018	9198948
OT	1	9	66369	9302455
OT	2	9	59809	9171361
OT	1	10	64527	9237880
OT	2	10	58155	9205933
OT	1	11	63335	9261901
OT	2	11	57706	9186867
OT	1	12	63194	9355369
OT	2	12	57353	9205067
OT	1	13	61622	9214756
OT	2	13	57344	9224427
OT	1	14	60644	9157172
OT	2	14	56704	9173931
OT	1	15	61111	9298553
OT	2	15	59858	9171143
OT	1	16	59805	9217004
OT	2	16	57307	9228357
OT	1	17	62813	9126899
OT	2	17	55955	9171469
OT	1	18	60056	9285880
OT	2	18	57993	9186604
OT	1	19	57712	9076370
OT	2	19	57988	9184367
OT	1	20	58019	9131645
OT	2	20	57813	9163178
OT	1	21	59139	9361591
OT	2	21	56225	9213418
OT	1	22	66534	9327383
OT	2	22	56005	9246102
OT	1	23	58290	9274831
OT	2	23	55771	9197820
OT	1	24	58686	9334935
OT	2	24	55948	9210557
OT	1	25	58030	9262375
OT	2	25	56026	9241436
OT	1	26	57954	9235179
OT	2	26	55994	9188148
OT	1	27	58642	9365610
OT	2	27	55412	9217784
OT	1	28	57542	9278101
OT	2	28	57036	9236588
OT	1	29	57462	9247629
OT	2	29	55422	9195780
OT	1	30	58184	9362821
OT	2	30	56324	9205600
OT	1	31	57382	9278022
OT	2	31	55435	9243479
OT	1	32	56644	9243129
OT	2	32	56468	9194961
OT	1	33	57452	9352243
OT	2	33	55038	9225001
OT	1	34	56627	9273890
OT	2	34	55509	9247555
OT	1	35	56115	9236062
OT	2	35	56082	9183840
OT	1	36	57364	9358557
OT	2	36	56232	9205414
OT	1	37	56732	9272844
OT	2	37	55223	9248046
OT	1	38	56563	9242127
OT	2	38	54612	9192371
OT	1	39	57696	9341532
OT	2	39	55178	9216864
OT	1	40	56061	9264611
OT	2	40	54966	9244291
OT	1	41	55762	9230836
OT	2	41	54381	9191695
OT	1	42	56952	9331641
OT	2	42	54591	9216747
OT	1	43	56230	9263854
OT	2	43	54619	9244016
OT	1	44	55660	9228948
OT	2	44	56029	9172144
OT	1	45	56407	9331555
OT	2	45	55734	9204556
OT	1	46	58319	9233517
OT	2	46	55070	9227782
OT	1	47	56380	9214008
OT	2	47	54225	9186584
OT	1	48	56635	9322214
OT	2	48	54484	9205599
OT	1	49	55531	9235440
OT	2	49	54909	9231767
OT	1	50	55832	9202609
OT	2	50	54223	9171682
OT	1	51	55767	9304152
OT	2	51	56030	9171105
OT	1	52	54940	9229285
OT	2	52	54352	9219095
OT	1	53	54975	9199188
OT	2	53	54389	9159499
OT	1	54	55425	9296355
OT	2	54	55677	9177225
OT	1	55	55293	9213950
OT	2	55	55258	9199511
OT	1	56	54576	9175836
OT	2	56	54125	9142398
OT	1	57	57897	9257274
OT	2	57	55003	9155759
OT	1	58	54564	9197038
OT	2	58	54532	9187191
OT	1	59	54252	9164565
OT	2	59	55769	9117152
OT	1	60	55242	9257453
OT	2	60	53940	9146362
OT	1	61	56068	9161022
OT	2	61	54233	9170589
OT	1	62	54269	9141777
OT	2	62	54046	9108095
OT	1	63	55423	9246221
OT	2	63	54403	9116600
OT	1	64	54908	9155045
OT	2	64	54112	9147852
OT	1	65	54078	9120021
OT	2	65	53140	9090497
OT	1	66	54601	9214233
OT	2	66	54134	9105403
OT	1	67	54340	9132763
OT	2	67	55702	9116630
OT	1	68	54160	9094514
OT	2	68	53741	9064979
OT	1	69	54230	9189103
OT	2	69	56127	9061687
OT	1	70	55873	9091850
OT	2	70	54797	9089207
OT	1	71	54507	9068206
OT	2	71	53589	9040431
OT	1	72	54361	9156811
OT	2	72	54322	9041692
OT	1	73	53858	9076339
OT	2	73	54751	9064945
OT	1	74	53813	9039415
OT	2	74	53323	9003968
OT	1	75	54244	9124783
OT	2	75	53165	9014961
OT	1	76	53586	9040871
OT	2	76	53291	9028907
OT	1	77	53055	9007702
OT	2	77	53206	8966023
OT	1	78	54009	9083874
OT	2	78	53381	8972705
OT	1	79	53515	9001163
OT	2	79	53931	8984096
OT	1	80	52771	8967561
OT	2	80	52602	8920697
OT	1	81	53260	9041480
OT	2	81	52599	8923500
OT	1	82	53172	8967318
OT	2	82	53202	8943732
OT	1	83	52835	8926081
OT	2	83	53103	8863847
OT	1	84	53065	9008271
OT	2	84	52717	8871427
OT	1	85	53161	8925125
OT	2	85	53241	8883468
OT	1	86	52841	8883058
OT	2	86	52529	8810727
OT	1	87	53304	8960383
OT	2	87	52738	8806241
OT	1	88	54738	8868409
OT	2	88	53165	8818799
OT	1	89	51826	8839361
OT	2	89	52226	8751647
OT	1	90	53006	8914076
OT	2	90	52579	8755624
OT	1	91	52925	8836658
OT	2	91	52775	8770713
OT	1	92	52340	8791330
OT	2	92	52303	8704158
OT	1	93	54860	8845047
OT	2	93	52411	8703326
OT	1	94	52166	8788559
OT	2	94	52285	8722488
OT	1	95	52232	8753323
OT	2	95	53427	8633592
OT	1	96	52411	8819520
OT	2	96	52070	8649415
OT	1	97	51893	8738137
OT	2	97	52813	8667565
OT	1	98	52225	8705426
OT	2	98	52442	8602483
OT	1	99	52404	8777748
OT	2	99	51876	8606060
OT	1	100	51828	8687199
OT	2	100	53062	8619040
OT	1	101	51850	8654873
OT	2	101	51915	8547253
OT	1	102	52161	8724947
OT	2	102	52965	8549328
OT	1	103	51911	8642914
OT	2	103	52585	8572957
OT	1	104	51273	8602105
OT	2	104	52443	8487675
OT	1	105	54358	8650188
OT	2	105	52017	8498692
OT	1	106	53770	8571640
OT	2	106	53640	8509244
OT	1	107	51603	8547865
OT	2	107	52527	8437384
OT	1	108	54353	8593684
OT	2	108	52121	8430414
OT	1	109	51407	8525201
OT	2	109	51620	8456139
OT	1	110	51207	8490930
OT	2	110	52746	8375850
OT	1	111	52089	8544728
OT	2	111	51942	8376042
OT	1	112	52779	8455379
OT	2	112	52760	8393883
OT	1	113	51215	8424734
OT	2	113	53050	8315279
OT	1	114	51720	8481381
OT	2	114	52118	8300845
OT	1	115	51444	8401114
OT	2	115	52918	8326606
OT	1	116	51072	8357286
OT	2	116	52314	8240657
OT	1	117	51145	8406785
OT	2	117	52421	8231354
OT	1	118	52485	8317252
OT	2	118	52678	8244650
OT	1	119	50703	8280938
OT	2	119	52409	8166167
OT	1	120	50812	8332119
OT	2	120	52314	8150719
OT	1	121	50618	8247336
OT	2	121	53863	8153646
OT	1	122	49915	8207529
OT	2	122	53890	8055906
OT	1	123	50798	8256258
OT	2	123	52294	8049631
OT	1	124	52994	8147540
OT	2	124	53943	8053717
OT	1	125	50355	8123793
OT	2	125	51926	7967128
OT	1	126	50878	8172598
OT	2	126	52031	7946328
OT	1	127	51407	8080330
OT	2	127	52351	7961016
OT	1	128	50089	8036524
OT	2	128	51944	7843563
OT	1	129	50507	8084960
OT	2	129	51424	7773304
OT	1	130	50178	8000604
OT	2	130	52221	7789214
OT	1	131	50019	7953352
OT	2	131	53570	7710409
OT	1	132	52197	7983705
OT	2	132	53136	7693446
OT	1	133	50222	7910320
OT	2	133	54270	7804414
OT	1	134	49453	7861397
OT	2	134	52361	7619550
OT	1	135	51750	7887310
OT	2	135	52972	7539963
OT	1	136	49412	7819705
OT	2	136	52288	7524340
OT	1	137	49312	7763853
OT	2	137	53180	7440970
OT	1	138	49726	7811307
OT	2	138	52928	7462133
OT	1	139	50637	7707456
OT	2	139	53959	7484139
OT	1	140	48958	7674683
OT	2	140	53158	7359352
OT	1	141	49839	7706532
OT	2	141	53435	7308865
OT	1	142	48796	7620523
OT	2	142	54850	7332528
OT	1	143	49910	7561336
OT	2	143	54392	7165671
OT	1	144	50257	7598732
OT	2	144	53115	6743085
OT	1	145	48619	7526536
OT	2	145	58580	7366774
OT	1	146	48598	7465712
OT	2	146	58227	6928630
OT	1	147	48855	7501812
OT	2	147	64274	7132047
OT	1	148	48240	7408255
OT	2	148	71196	7412444
OT	1	149	49644	7326165
OT	2	149	70792	6501751
OT	1	150	47424	7330868
OT	2	150	83025	7091756
OT	1	151	40846	6999674
OT	2	151	124520	6851990
OB	1	1	63122	8896523
OB	2	1	162170	9191365
OB	1	2	58891	8917696
OB	2	2	95784	8816211
OB	1	3	59355	8728545
OB	2	3	80799	7932583
OB	1	4	57623	8985137
OB	2	4	82461	9161907
OB	1	5	57123	8947228
OB	2	5	72742	8630984
OB	1	6	54522	8831267
OB	2	6	65230	8323944
OB	1	7	55092	8933563
OB	2	7	66181	8888322
OB	1	8	55290	8826981
OB	2	8	57942	7957461
OB	1	9	55120	8863051
OB	2	9	60590	8535795
OB	1	10	54074	8920316
OB	2	10	60907	8703218
OB	1	11	54134	8948089
OB	2	11	58637	8601082
OB	1	12	53858	8902938
OB	2	12	58908	8641822
OB	1	13	55728	8937076
OB	2	13	59546	8765791
OB	1	14	54786	8988896
OB	2	14	58426	8688599
OB	1	15	53946	8926542
OB	2	15	58478	8628291
OB	1	16	53570	8959890
OB	2	16	56639	8707240
OB	1	17	56555	8992903
OB	2	17	58224	8669409
OB	1	18	53487	8964477
OB	2	18	57237	8759360
OB	1	19	53872	9021537
OB	2	19	59831	8973406
OB	1	20	55448	9041160
OB	2	20	58349	8774891
OB	1	21	52998	8992262
OB	2	21	57766	8780902
OB	1	22	53887	9025639
OB	2	22	55458	8854513
OB	1	23	53723	9071952
OB	2	23	55270	8789640
OB	1	24	53434	9026442
OB	2	24	55569	8853652
OB	1	25	54780	9063262
OB	2	25	56613	8981467
OB	1	26	54484	9120550
OB	2	26	56225	8919267
OB	1	27	53691	9062566
OB	2	27	55471	8924424
OB	1	28	56374	9087999
OB	2	28	58591	9018869
OB	1	29	53955	9151998
OB	2	29	55648	8964007
OB	1	30	53503	9085130
OB	2	30	57470	8953513
OB	1	31	54067	9133528
OB	2	31	57958	9052014
