Strand	Read	Position	nMethylated	nUnmethylated
OT	1	1	336925	9975635
OT	2	1	166634	10140669
OT	1	2	181269	7704536
OT	2	2	157350	9903302
OT	1	3	191676	9120874
OT	2	3	166533	10009864
OT	1	4	191073	9853504
OT	2	4	123569	10183778
OT	1	5	173099	10121468
OT	2	5	121973	10183278
OT	1	6	174205	10535363
OT	2	6	118505	10258093
OT	1	7	149331	9533609
OT	2	7	121134	10095035
OT	1	8	159862	10468917
OT	2	8	120313	10217157
OT	1	9	155086	10305221
OT	2	9	119153	10199451
OT	1	10	150749	10244672
OT	2	10	118749	10225193
OT	1	11	147195	10264618
OT	2	11	116413	10206718
OT	1	12	146980	10351362
OT	2	12	116034	10226014
OT	1	13	142393	10204351
OT	2	13	116686	10232379
OT	1	14	140378	10157628
OT	2	14	115795	10196568
OT	1	15	140911	10295672
OT	2	15	118787	10194074
OT	1	16	138909	10220098
OT	2	16	116503	10242077
OT	1	17	140628	10135226
OT	2	17	115285	10195366
OT	1	18	137654	10297941
OT	2	18	116836	10208643
OT	1	19	133676	10096720
OT	2	19	117459	10210480
OT	1	20	133224	10156684
OT	2	20	117266	10184511
OT	1	21	135658	10381757
OT	2	21	115341	10239561
OT	1	22	141880	10333171
OT	2	22	115071	10256025
OT	1	23	132283	10284349
OT	2	23	114833	10216655
OT	1	24	133437	10362181
OT	2	24	114608	10241582
OT	1	25	131728	10269111
OT	2	25	115795	10258114
OT	1	26	130928	10253834
OT	2	26	116242	10208513
OT	1	27	131605	10380262
OT	2	27	115351	10235119
OT	1	28	130424	10292665
OT	2	28	116819	10256060
OT	1	29	129424	10271604
OT	2	29	114945	10219070
OT	1	30	130581	10381777
OT	2	30	115351	10230025
OT	1	31	128479	10289045
OT	2	31	114811	10266769
OT	1	32	128485	10265235
OT	2	32	115880	10218006
OT	1	33	128870	10363059
OT	2	33	114406	10248785
OT	1	34	127485	10279161
OT	2	34	115417	10267014
OT	1	35	126719	10249723
OT	2	35	115064	10208035
OT	1	36	126833	10373598
OT	2	36	115950	10227248
OT	1	37	126342	10282543
OT	2	37	114399	10265457
OT	1	38	125487	10260406
OT	2	38	113595	10225211
OT	1	39	127621	10368546
OT	2	39	114955	10247793
OT	1	40	125766	10278893
OT	2	40	114793	10270879
OT	1	41	124505	10252571
OT	2	41	113717	10217866
OT	1	42	124976	10342529
OT	2	42	113495	10238073
OT	1	43	124914	10280620
OT	2	43	114180	10270957
OT	1	44	123727	10243584
OT	2	44	114928	10200608
OT	1	45	124105	10342545
OT	2	45	114749	10231476
OT	1	46	125611	10241773
OT	2	46	113605	10253059
OT	1	47	124137	10226195
OT	2	47	113509	10213006
OT	1	48	123952	10336567
OT	2	48	114152	10233310
OT	1	49	123153	10251116
OT	2	49	114433	10255587
OT	1	50	121938	10210467
OT	2	50	114232	10200560
OT	1	51	122781	10319405
OT	2	51	116042	10201047
OT	1	52	121923	10244839
OT	2	52	114594	10252096
OT	1	53	121905	10218529
OT	2	53	114032	10192100
OT	1	54	122367	10316171
OT	2	54	116238	10200343
OT	1	55	120719	10226739
OT	2	55	115421	10227547
OT	1	56	120566	10190253
OT	2	56	114092	10172598
OT	1	57	124374	10269281
