GO_ID	term_name	Ontology	term_size	foreground_size	overlap_size	gene_ratio	background_ratio	pvalue	overlap_genes	qvalue	log10_qvalue
GO:0006364	rRNA processing	biological_process	36	4009	33	0.00823147917186331	0.00464816010329245	3.05734333403582e-07	23547758;23547938;23547974;23549375;23549850;23549931;23550003;23550438;23551297;23551309;23551512;23551583;23552130;23552275;23552393;23552419;23552858;23552859;23553474;23553713;23553784;23553826;23553878;23554345;23554534;23555596;23555747;23556380;23556855;23556956;23556982;23557135;23557176	2.54593317634256e-05	4.59415299955375
GO:0003723	RNA binding	molecular_function	219	4009	149	0.0371663756547768	0.0282763072950291	5.3352487830066e-07	23547763;23547827;23547848;23547850;23547885;23547888;23547947;23547955;23548127;23548133;23548174;23548221;23548232;23548235;23548305;23548314;23548358;23548473;23548534;23548646;23548735;23548788;23548800;23548822;23548944;23548979;23549282;23549329;23549357;23549362;23549380;23549616;23549883;23549912;23549914;23549931;23549945;23549958;23549976;23549979;23549998;23550003;23550014;23550105;23550170;23550693;23551340;23551399;23551426;23551524;23551544;23551645;23551659;23551797;23552260;23552573;23552615;23552673;23552687;23552780;23552858;23552940;23553014;23553243;23553305;23553340;23553357;23553379;23553402;23553406;23553424;23553478;23553479;23553512;23553540;23553712;23553790;23553826;23553919;23553933;23553952;23553997;23554006;23554028;23554034;23554062;23554063;23554117;23554121;23554136;23554277;23554295;23554379;23554409;23554416;23554480;23554515;23554519;23555347;23555437;23555560;23555595;23555639;23555649;23555657;23555663;23555704;23555712;23555838;23555848;23555859;23556196;23556342;23556373;23556380;23556599;23556697;23556702;23556765;23556793;23556801;23556886;23556898;23556924;23557009;23557075;23557093;23557160;23557182;23557185;23557192;23557253;23557719;23557727;23557762;23557934;23558054;23558612;23558671;23558684;23558697;23559008;23559191;23559658;23559838;23560127;23560432;23560470;23560534	4.07257323769503e-05	4.39013109696646
GO:0005747	obsolete mitochondrial respiratory chain complex I	cellular_component	25	4009	24	0.00598653030680968	0.00322788896061975	1.669952990346e-06	23547866;23548457;23549323;23549351;23549846;23552742;23552916;23553471;23554013;23554039;23554541;23554899;23554915;23555483;23555564;23555974;23556197;23556212;23556497;23557147;23557188;23558441;23558449;23559065	0.000117667456858226	3.92934363283313
GO:0042273	ribosomal large subunit biogenesis	biological_process	19	4009	19	0.004739336492891	0.00245319561007101	3.60845594251394e-06	23547784;23548723;23549025;23551162;23552317;23553302;23553305;23553479;23553560;23553826;23553843;23553906;23554063;23554203;23554534;23555560;23556665;23557727;23557896	0.000233188274998979	3.63229329023918
GO:0006457	protein folding	biological_process	42	4009	36	0.00897979546021452	0.00542285345384119	3.81858528928459e-06	23547797;23547969;23548041;23548045;23548055;23548252;23548351;23548406;23548607;23548777;23548819;23549359;23549413;23552440;23552941;23553134;23553429;23553441;23553448;23553539;23553764;23553876;23554186;23554516;23555638;23555764;23556128;23556416;23556485;23556736;23557261;23557704;23557713;23557839;23558734;23559785	0.000233188274998979	3.63229329023918
GO:0002181	cytoplasmic translation	biological_process	21	4009	20	0.00498877525567473	0.00271142672692059	1.98886558683526e-05	23548314;23548473;23548578;23548603;23548687;23548723;23548735;23548939;23549283;23552332;23552563;23553941;23554034;23555668;23556259;23556898;23557277;23557711;23557727;23557785	0.00113862554846319	2.94361907572199
GO:0030687	preribosome, large subunit precursor	cellular_component	23	4009	21	0.00523821401845847	0.00296965784377017	6.27346236751299e-05	23548584;23549880;23551162;23551297;23551309;23552385;23552648;23553255;23553560;23553826;23553906;23553935;23554063;23554203;23554345;23554529;23554534;23555964;23557896;23558427;23559881	0.00338028913449524	2.47104615056692
GO:0005763	mitochondrial small ribosomal subunit	cellular_component	14	4009	14	0.00349214267897231	0.00180761781794706	9.8048621580206e-05	23547672;23549083;23550121;23552513;23553030;23553443;23554202;23554480;23555926;23556391;23556883;23557415;23559002;23560391	0.00498958540930382	2.30193553893209
GO:0019843	rRNA binding	molecular_function	13	4009	13	0.00324270391618858	0.00167850225952227	0.000189717703217756	23547820;23548603;23548624;23551297;23551583;23552513;23553166;23555424;23555874;23556481;23556782;23556998;23557135	0.00904692156155124	2.04349917507881
GO:0051082	obsolete unfolded protein binding	molecular_function	43	4009	34	0.00848091793464704	0.00555196901226598	0.000197531038461817	23547797;23548041;23548045;23548387;23548490;23548607;23548777;23548819;23549413;23551385;23552440;23552938;23552941;23553134;23553295;23553344;23553441;23553448;23553876;23553939;23554009;23554186;23555559;23555864;23556128;23556237;23556416;23556422;23556665;23556704;23557299;23557704;23557839;23559785	0.00904692156155124	2.04349917507881
GO:0005743	mitochondrial inner membrane	cellular_component	67	4009	49	0.0122224993764031	0.00865074241446094	0.000273526738992149	23547802;23548144;23548194;23548476;23548679;23548817;23548976;23549024;23549601;23550120;23550128;23550758;23551413;23551607;23552264;23552755;23552789;23553019;23553043;23553168;23553208;23553382;23553433;23553469;23553548;23553760;23553808;23553819;23554009;23554172;23554541;23554616;23555432;23555565;23555798;23555866;23555975;23556118;23556600;23556769;23556844;23556864;23556985;23557333;23557617;23557728;23557743;23559940;23560087	0.0119309758531814	1.92332403325175
GO:0042254	ribosome biogenesis	biological_process	20	4009	18	0.00448989773010726	0.0025823111684958	0.000347029118413152	23547862;23548174;23548553;23551656;23553505;23553935;23553941;23553998;23554203;23555481;23556002;23556676;23556729;23556924;23557215;23557762;23558427;23558664	0.0140089618366727	1.85359404781988
GO:0000028	ribosomal small subunit assembly	biological_process	12	4009	12	0.00299326515340484	0.00154938670109748	0.000367047035021993	23547885;23549053;23549911;23549958;23550121;23553166;23553540;23554458;23555424;23557176;23557785;23558741	0.0140089618366727	1.85359404781988
GO:0015986	proton motive force-driven ATP synthesis	biological_process	12	4009	12	0.00299326515340484	0.00154938670109748	0.000367047035021993	23547863;23547918;23547960;23548138;23549845;23552454;23553192;23553983;23556383;23558713;23559765;23560148	0.0140089618366727	1.85359404781988
GO:0000027	ribosomal large subunit assembly	biological_process	16	4009	15	0.00374158144175605	0.00206584893479664	0.000417983873156761	23548473;23548624;23549850;23549865;23550438;23551297;23551512;23551583;23552869;23553424;23553826;23553941;23554345;23556933;23557161	0.0141804899189479	1.8483087645394
GO:0000155	phosphorelay sensor kinase activity	molecular_function	16	4009	15	0.00374158144175605	0.00206584893479664	0.000417983873156761	23548214;23548324;23549825;23550786;23551862;23552381;23553139;23553143;23554214;23554566;23554690;23555066;23555604;23555768;23556965	0.0141804899189479	1.8483087645394
GO:0005666	RNA polymerase III complex	cellular_component	16	4009	15	0.00374158144175605	0.00206584893479664	0.000417983873156761	23547855;23548129;23548253;23551307;23551428;23551531;23552779;23553805;23554040;23554232;23555550;23556684;23557721;23558674;23560428	0.0141804899189479	1.8483087645394
GO:0032981	mitochondrial respiratory chain complex I assembly	biological_process	15	4009	14	0.00349214267897231	0.00193673337637185	0.000761395549937611	23548295;23549323;23551413;23552589;23552742;23553471;23554133;23554915;23555390;23555864;23555974;23557188;23557608;23559001	0.0240495973704432	1.61889219002855
GO:0033617	mitochondrial respiratory chain complex IV assembly	biological_process	15	4009	14	0.00349214267897231	0.00193673337637185	0.000761395549937611	23548043;23548144;23548976;23550758;23553019;23553208;23554009;23554331;23555842;23556492;23556564;23557677;23557743;23560117	0.0240495973704432	1.61889219002855
GO:0003743	translation initiation factor activity	molecular_function	34	4009	27	0.00673484659516089	0.00438992898644287	0.000813228553746137	23547779;23548570;23548757;23548786;23549914;23549941;23552260;23552605;23552608;23552791;23552940;23553216;23553357;23553450;23553487;23553905;23553954;23554218;23554240;23554324;23555649;23555859;23555965;23556599;23556890;23556997;23557182	0.0248305785077154	1.60501316204907
GO:0032543	mitochondrial translation	biological_process	18	4009	16	0.00399102020453979	0.00232408005164622	0.00106040437917848	23547820;23549411;23551335;23552277;23553307;23553361;23553543;23553703;23553825;23553987;23555926;23555978;23556391;23556883;23557415;23558641	0.0313332390750802	1.50399470758488
GO:0005682	U5 snRNP	cellular_component	10	4009	10	0.00249438762783737	0.0012911555842479	0.001373384090278	23547848;23548232;23548535;23549904;23549906;23550105;23553392;23554096;23554117;23559658	0.0370005831380779	1.43179143129372
GO:0005852	eukaryotic translation initiation factor 3 complex	cellular_component	10	4009	10	0.00249438762783737	0.0012911555842479	0.001373384090278	23548757;23548786;23549914;23549941;23552260;23552791;23552940;23553216;23553450;23554218	0.0370005831380779	1.43179143129372
GO:0030515	snoRNA binding	molecular_function	10	4009	10	0.00249438762783737	0.0012911555842479	0.001373384090278	23552419;23553213;23553878;23553917;23554153;23554349;23556855;23557135;23557788;23557817	0.0370005831380779	1.43179143129372
GO:0030686	90S preribosome	cellular_component	17	4009	15	0.00374158144175605	0.00219496449322143	0.00183801714911949	23547763;23548345;23551657;23552224;23552681;23553713;23553903;23554136;23554349;23554477;23555384;23555444;23555831;23556729;23557785	0.0481035345312416	1.31782301154679
GO:0030150	protein import into mitochondrial matrix	biological_process	13	4009	12	0.00299326515340484	0.00167850225952227	0.00249499901667284	23547797;23548055;23550120;23552226;23552755;23553548;23553842;23555345;23556183;23556650;23556749;23559935	0.0623848806366012	1.20492065153098
GO:0000276	obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	cellular_component	9	4009	9	0.00224494886505363	0.00116204002582311	0.00265612483059765	23547863;23547918;23547960;23548138;23549845;23552454;23553192;23556383;23560148	0.0623848806366012	1.20492065153098
GO:0030527	structural constituent of chromatin	molecular_function	9	4009	9	0.00224494886505363	0.00116204002582311	0.00265612483059765	23549057;23549971;23551547;23551548;23552268;23552671;23557684;23558447;23558448	0.0623848806366012	1.20492065153098
GO:0034427	obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'	biological_process	9	4009	9	0.00224494886505363	0.00116204002582311	0.00265612483059765	23548543;23551535;23552688;23555576;23555639;23556319;23556886;23557759;23559714	0.0623848806366012	1.20492065153098
GO:0071011	precatalytic spliceosome	cellular_component	22	4009	18	0.00448989773010726	0.00284054228534538	0.00353003412581147	23547848;23547850;23547955;23548232;23549616;23550105;23551577;23552408;23553544;23553863;23554117;23555800;23556373;23556833;23556924;23557009;23559008;23559658	0.0788661282742269	1.10310947919948
GO:0140662	ATP-dependent protein folding chaperone	molecular_function	22	4009	18	0.00448989773010726	0.00284054228534538	0.00353003412581147	23548045;23548387;23549359;23549413;23552440;23552941;23553134;23553161;23553295;23553382;23553441;23553448;23553876;23555638;23555675;23556416;23556422;23557701	0.0788661282742269	1.10310947919948
GO:0006744	ubiquinone biosynthetic process	biological_process	12	4009	11	0.0027438263906211	0.00154938670109748	0.00448296816411303	23547865;23549338;23554475;23554509;23555457;23556202;23556769;23556844;23557617;23557810;23560087	0.095497647402966	1.02000732718583
GO:0030490	maturation of SSU-rRNA	biological_process	12	4009	11	0.0027438263906211	0.00154938670109748	0.00448296816411303	23547947;23548345;23553449;23553483;23554153;23555384;23556003;23556718;23556924;23558741;23559843	0.095497647402966	1.02000732718583
GO:0005832	chaperonin-containing T-complex	cellular_component	8	4009	8	0.00199551010226989	0.00103292446739832	0.00513632537224044	23548045;23552440;23552941;23553134;23553441;23553448;23553876;23556416	0.102279870455918	0.990209830707449
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	biological_process	8	4009	8	0.00199551010226989	0.00103292446739832	0.00513632537224044	23548048;23548644;23552441;23556439;23556607;23557205;23557216;23557761	0.102279870455918	0.990209830707449
GO:0034475	U4 snRNA 3'-end processing	biological_process	8	4009	8	0.00199551010226989	0.00103292446739832	0.00513632537224044	23548543;23551535;23552688;23555576;23555639;23556319;23556886;23557759	0.102279870455918	0.990209830707449
GO:0005736	RNA polymerase I complex	cellular_component	11	4009	10	0.00249438762783737	0.00142027114267269	0.00800682036859554	23547855;23551307;23551531;23551719;23552729;23552803;23553805;23554040;23556684;23558674	0.156047818247522	0.806742298960751
GO:0005839	proteasome core complex	cellular_component	14	4009	12	0.00299326515340484	0.00180761781794706	0.00917649852967444	23547857;23548051;23548609;23551661;23552412;23552550;23552807;23553300;23553918;23553991;23554369;23557169	0.168113453063636	0.774397531310544
GO:0008289	lipid binding	molecular_function	14	4009	12	0.00299326515340484	0.00180761781794706	0.00917649852967444	23547986;23548215;23548366;23549490;23549965;23550074;23551633;23553853;23553990;23555883;23556769;23558562	0.168113453063636	0.774397531310544
GO:0016310	phosphorylation	biological_process	14	4009	12	0.00299326515340484	0.00180761781794706	0.00917649852967444	23548214;23548324;23549825;23551862;23553139;23554214;23554566;23555604;23555768;23556965;23558744;23558745	0.168113453063636	0.774397531310544
GO:0005750	obsolete mitochondrial respiratory chain complex III	cellular_component	7	4009	7	0.00174607133948616	0.000903808908973531	0.0099312558046968	23548048;23548644;23552441;23556439;23556607;23557205;23557216	0.168463524390783	0.773494117763809
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	biological_process	7	4009	7	0.00174607133948616	0.000903808908973531	0.0099312558046968	23549085;23551573;23555866;23556805;23557761;23558996;23559940	0.168463524390783	0.773494117763809
GO:0019773	proteasome core complex, alpha-subunit complex	cellular_component	7	4009	7	0.00174607133948616	0.000903808908973531	0.0099312558046968	23548051;23551661;23552412;23552550;23553300;23554369;23557169	0.168463524390783	0.773494117763809
GO:0031386	protein tag activity	molecular_function	7	4009	7	0.00174607133948616	0.000903808908973531	0.0099312558046968	23548567;23548765;23549363;23554422;23555755;23556395;23557818	0.168463524390783	0.773494117763809
GO:0000160	phosphorelay signal transduction system	biological_process	19	4009	15	0.00374158144175605	0.00245319561007101	0.0141787328144413	23548214;23548324;23548755;23549825;23551862;23552381;23553139;23553143;23554214;23554566;23554690;23555066;23555604;23555768;23556965	0.215542753290156	0.666466573872502
GO:0046540	U4/U6 x U5 tri-snRNP complex	cellular_component	19	4009	15	0.00374158144175605	0.00245319561007101	0.0141787328144413	23547850;23547947;23547955;23547957;23548535;23549904;23550105;23553933;23554096;23554117;23556575;23556924;23559008;23560362;23560363	0.215542753290156	0.666466573872502
GO:0000387	spliceosomal snRNP assembly	biological_process	10	4009	9	0.00224494886505363	0.0012911555842479	0.0142007914934745	23547848;23548232;23548822;23550105;23550170;23552506;23554117;23557057;23559658	0.215542753290156	0.666466573872502
GO:0030148	sphingolipid biosynthetic process	biological_process	10	4009	9	0.00224494886505363	0.0012911555842479	0.0142007914934745	23547830;23549061;23552382;23553817;23554000;23554389;23554427;23554894;23559460	0.215542753290156	0.666466573872502
GO:0030688	preribosome, small subunit precursor	cellular_component	10	4009	9	0.00224494886505363	0.0012911555842479	0.0142007914934745	23551309;23551656;23552224;23552419;23554072;23554136;23554285;23556003;23556718	0.215542753290156	0.666466573872502
GO:0034551	mitochondrial respiratory chain complex III assembly	biological_process	10	4009	9	0.00224494886505363	0.0012911555842479	0.0142007914934745	23549601;23550128;23550142;23553043;23553433;23554313;23554616;23554922;23555666	0.215542753290156	0.666466573872502
