comparison	set1	set2	n_set1	n_set2	n_intersection	n_union	jaccard_index
venn_C1_WT_NPN_vs_WT_PN_C2_DoubleMutant_NPN_vs_DoubleMutant_PN	WT_NPN_vs_PN	DoubleMutant_NPN_vs_PN	5831	6107	5291	6647	0.796
venn_C3_DoubleMutant_PN_vs_WT_PN_C4_DoubleMutant_NPN_vs_WT_NPN	DoubleMutant_vs_WT_in_PN	DoubleMutant_vs_WT_in_NPN	44	246	4	286	0.014
