sample	cluster_k2	condition	genotype
SRR10408671	1	PN	WT
SRR10408672	1	PN	WT
SRR10408673	1	PN	WT
SRR10408674	1	PN	DoubleMutant
SRR10408675	1	PN	DoubleMutant
SRR10408676	1	PN	DoubleMutant
SRR10408683	2	NPN	WT
SRR10408684	2	NPN	WT
SRR10408685	2	NPN	WT
SRR10408686	2	NPN	DoubleMutant
SRR10408687	2	NPN	DoubleMutant
SRR10408688	2	NPN	DoubleMutant
