component	r_squared	p_condition	p_genotype	p_interaction
PC1	0.998554848787889	1.2060021590851e-12	0.965806711753988	0.00509253550089772
PC2	0.860504927790315	0.738483916435597	0.00218546789192448	0.000617547863502296
