Strand	Read	Position	nMethylated	nUnmethylated
OT	1	100	52881	9597663
OT	2	100	53664	9483201
OT	1	101	53007	9576756
OT	2	101	53244	9409895
OT	1	102	53181	9643415
OT	2	102	53441	9400451
OT	1	103	53395	9549728
OT	2	103	52984	9429928
OT	1	104	52793	9509444
OT	2	104	53287	9341974
OT	1	105	56223	9555107
OT	2	105	53158	9342932
OT	1	106	55677	9459651
OT	2	106	53838	9359574
OT	1	107	52903	9442591
OT	2	107	53003	9279783
OT	1	108	55709	9488211
OT	2	108	52916	9269674
OT	1	109	52883	9409893
OT	2	109	52894	9298072
OT	1	110	52300	9379943
OT	2	110	52817	9205719
OT	1	111	52698	9438758
OT	2	111	53045	9200587
OT	1	112	53937	9330330
OT	2	112	53138	9226874
OT	1	113	52951	9306611
OT	2	113	53099	9137780
OT	1	114	52713	9360305
OT	2	114	53208	9128721
OT	1	115	52165	9270115
OT	2	115	53100	9151283
OT	1	116	52065	9232677
OT	2	116	52947	9046067
OT	1	117	52263	9279362
OT	2	117	52386	9044924
OT	1	118	54058	9177498
OT	2	118	52878	9066452
OT	1	119	52097	9147246
OT	2	119	52613	8968321
OT	1	120	52329	9197654
OT	2	120	52634	8938717
OT	1	121	51929	9100640
OT	2	121	55123	8937246
OT	1	122	50976	9061085
OT	2	122	54248	8839630
OT	1	123	51735	9109507
OT	2	123	52554	8822388
OT	1	124	55255	8990794
OT	2	124	54649	8822901
OT	1	125	51287	8973055
OT	2	125	52089	8723442
OT	1	126	51718	9021494
OT	2	126	52042	8698909
OT	1	127	52714	8898658
OT	2	127	52472	8710169
OT	1	128	51481	8874298
OT	2	128	52505	8575274
OT	1	129	51113	8922076
OT	2	129	51628	8482165
OT	1	130	51041	8823518
OT	2	130	51822	8504222
OT	1	131	50359	8785959
OT	2	131	53414	8418474
OT	1	132	52695	8806755
OT	2	132	53485	8402452
OT	1	133	50270	8718467
OT	2	133	54243	8528017
OT	1	134	50150	8680225
OT	2	134	52620	8320431
OT	1	135	53838	8696032
OT	2	135	52868	8218698
OT	1	136	50211	8621943
OT	2	136	52197	8203513
OT	1	137	49992	8580768
OT	2	137	53150	8107658
OT	1	138	50639	8616345
OT	2	138	52603	8135698
OT	1	139	52072	8500761
OT	2	139	53467	8145758
OT	1	140	49913	8475894
OT	2	140	52795	8014371
OT	1	141	50198	8506949
OT	2	141	52699	7967546
OT	1	142	49605	8413765
OT	2	142	54883	8050493
OT	1	143	51451	8363031
OT	2	143	54467	7943781
OT	1	144	51038	8399526
OT	2	144	52805	7529381
OT	1	145	49254	8306056
OT	2	145	59133	8177971
OT	1	146	49279	8263109
OT	2	146	59308	7697864
OT	1	147	50146	8291018
OT	2	147	64298	7818138
OT	1	148	48731	8192566
OT	2	148	71911	8119791
OT	1	149	50440	8108737
OT	2	149	72945	7235141
OT	1	150	48007	8121601
OT	2	150	86364	7738540
OT	1	151	40997	7742678
OT	2	151	137499	7754177
OB	1	1	64824	9830397
OB	2	1	177749	10314222
OB	1	2	60986	9784149
OB	2	2	98305	9505397
OB	1	3	61642	9609503
OB	2	3	83642	8774417
OB	1	4	58978	9844885
OB	2	4	82906	9927577
OB	1	5	58265	9819079
OB	2	5	72751	9385224
OB	1	6	56087	9725703
OB	2	6	66129	9195330
OB	1	7	56273	9825403
OB	2	7	66291	9803230
OB	1	8	57145	9727283
OB	2	8	58335	8844351
OB	1	9	56903	9762287
OB	2	9	61088	9413195
OB	1	10	55273	9796589
OB	2	10	60509	9491724
OB	1	11	55656	9832391
OB	2	11	58057	9319017
OB	1	12	55411	9783966
OB	2	12	58178	9350942
OB	1	13	57244	9816215
OB	2	13	58963	9507546
OB	1	14	56151	9879261
OB	2	14	57819	9439048
OB	1	15	55129	9827984
OB	2	15	57905	9375168
OB	1	16	55326	9861998
OB	2	16	56444	9480581
OB	1	17	57966	9909069
OB	2	17	57754	9448705
OB	1	18	55219	9894057
OB	2	18	57265	9557852
OB	1	19	55718	9956625
OB	2	19	60308	9810549
OB	1	20	57174	9980403
OB	2	20	57753	9580338
OB	1	21	55282	9949236
OB	2	21	58498	9601142
OB	1	22	55424	9982633
OB	2	22	56123	9694353
OB	1	23	55674	10037434
OB	2	23	55713	9630997
OB	1	24	56038	10001764
OB	2	24	56326	9727211
OB	1	25	56986	10048828
OB	2	25	57177	9877383
OB	1	26	56144	10111854
OB	2	26	56330	9815659
OB	1	27	55918	10064535
OB	2	27	56319	9835532
OB	1	28	58451	10092420
OB	2	28	59420	9948682
OB	1	29	56135	10169960
OB	2	29	56975	9896207
OB	1	30	55909	10121232
OB	2	30	59028	9912577
OB	1	31	55787	10157591
OB	2	31	58936	10017349
OB	1	32	55814	10209135
OB	2	32	56631	9965356
OB	1	33	55750	10162908
OB	2	33	56584	9995235
OB	1	34	57632	10185732
OB	2	34	56901	10106782
OB	1	35	56186	10254806
OB	2	35	56537	10028179
OB	1	36	55826	10179216
OB	2	36	56712	10021277
OB	1	37	56125	10219246
OB	2	37	57440	10119972
OB	1	38	56335	10263132
OB	2	38	56610	10041356
OB	1	39	56347	10208720
OB	2	39	56793	10038806
OB	1	40	57398	10215751
OB	2	40	56306	10126669
OB	1	41	56474	10279427
OB	2	41	56733	10047413
OB	1	42	56066	10214439
OB	2	42	56397	10049824
OB	1	43	56586	10236699
OB	2	43	56467	10133396
OB	1	44	58738	10276582
OB	2	44	55339	10064834
OB	1	45	56190	10228159
OB	2	45	55701	10063672
OB	1	46	58106	10237343
OB	2	46	57663	10143340
OB	1	47	58432	10281856
OB	2	47	55328	10076437
OB	1	48	55950	10237780
OB	2	48	56516	10068866
OB	1	49	56042	10264624
OB	2	49	56181	10158608
OB	1	50	56318	10317081
OB	2	50	56388	10085277
OB	1	51	56074	10249565
OB	2	51	54982	10082681
OB	1	52	56092	10273252
OB	2	52	56197	10175606
OB	1	53	56483	10324113
OB	2	53	55530	10099221
OB	1	54	55583	10258639
OB	2	54	55302	10101378
OB	1	55	56610	10285887
OB	2	55	56173	10180696
OB	1	56	56933	10331125
OB	2	56	54885	10110536
OB	1	57	56319	10266845
OB	2	57	57107	10100188
OB	1	58	56558	10301315
OB	2	58	55808	10199815
OB	1	59	58861	10330836
OB	2	59	55828	10133733
OB	1	60	56468	10287421
OB	2	60	55198	10140972
OB	1	61	56196	10312572
OB	2	61	55888	10222023
OB	1	62	56867	10361536
OB	2	62	55093	10159204
OB	1	63	56623	10291364
OB	2	63	56508	10157380
OB	1	64	58339	10304207
OB	2	64	57679	10242018
OB	1	65	56970	10368433
OB	2	65	55870	10184362
OB	1	66	56526	10297428
OB	2	66	55290	10193806
OB	1	67	56724	10311426
OB	2	67	56965	10275512
OB	1	68	57272	10364542
OB	2	68	56298	10211171
OB	1	69	56948	10285257
OB	2	69	56307	10206920
OB	1	70	56497	10301027
