term_id	overlap	term_size	set_size	bg_size	pvalue	gene_ratio	bg_ratio	overlap_genes	padj	term_name
fgr01110	42	451	780	10357	0.0874572954657271	0.0538461538461538	0.0435454282128029	FGSG_00176,FGSG_00346,FGSG_00598,FGSG_00743,FGSG_01164,FGSG_01392,FGSG_01643,FGSG_01829,FGSG_02296,FGSG_02346,FGSG_02352,FGSG_02502,FGSG_02506,FGSG_02539,FGSG_03014,FGSG_03993,FGSG_04187,FGSG_04261,FGSG_05482,FGSG_05610,FGSG_05950,FGSG_06215,FGSG_06281,FGSG_06282,FGSG_06554,FGSG_06642,FGSG_08044,FGSG_08498,FGSG_09012,FGSG_09214,FGSG_09284,FGSG_09661,FGSG_09739,FGSG_09830,FGSG_10949,FGSG_11559,FGSG_12136,FGSG_12586,FGSG_13111,FGSG_13136,FGSG_13188,FGSG_13299	0.577396165787745	Biosynthesis of secondary metabolites - Fusarium graminearum
fgr00410	5	32	780	10357	0.0888210194927185	0.00641025641025641	0.00308969778893502	FGSG_02296,FGSG_03761,FGSG_04187,FGSG_05284,FGSG_13111	0.577396165787745	beta-Alanine metabolism - Fusarium graminearum
fgr03022	5	32	780	10357	0.0888210194927185	0.00641025641025641	0.00308969778893502	FGSG_01623,FGSG_04108,FGSG_05211,FGSG_05301,FGSG_09166	0.577396165787745	Basal transcription factors - Fusarium graminearum
fgr00400	4	23	780	10357	0.0900526130127676	0.00512820512820513	0.00222072028579705	FGSG_00598,FGSG_01643,FGSG_05482,FGSG_09739	0.577396165787745	Phenylalanine, tyrosine and tryptophan biosynthesis - Fusarium graminearum
fgr04011	8	65	780	10357	0.113638916651154	0.0102564102564103	0.00627594863377426	FGSG_00565,FGSG_01161,FGSG_03132,FGSG_03597,FGSG_06554,FGSG_07289,FGSG_08691,FGSG_10313	0.688146773054213	MAPK signaling pathway - yeast - Fusarium graminearum
fgr04141	9	81	780	10357	0.154371746707917	0.0115384615384615	0.00782079752824177	FGSG_00499,FGSG_00898,FGSG_02529,FGSG_04121,FGSG_05973,FGSG_06646,FGSG_09848,FGSG_09869,FGSG_10819	0.809199728061344	Protein processing in endoplasmic reticulum - Fusarium graminearum
fgr00563	4	28	780	10357	0.155900865039342	0.00512820512820513	0.00270348556531814	FGSG_06057,FGSG_06069,FGSG_06923,FGSG_10836	0.809199728061344	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Fusarium graminearum
fgr00770	4	28	780	10357	0.155900865039342	0.00512820512820513	0.00270348556531814	FGSG_02296,FGSG_02539,FGSG_04187,FGSG_06282	0.809199728061344	Pantothenate and CoA biosynthesis - Fusarium graminearum
fgr04814	4	29	780	10357	0.170785999001874	0.00512820512820513	0.00280003862122236	FGSG_00428,FGSG_04890,FGSG_07335,FGSG_09418	0.846166995054738	Motor proteins - Fusarium graminearum
fgr00270	6	52	780	10357	0.194770763587248	0.00769230769230769	0.00502075890701941	FGSG_05053,FGSG_08498,FGSG_09214,FGSG_09284,FGSG_09739,FGSG_10036	0.857160419003371	Cysteine and methionine metabolism - Fusarium graminearum
