weighted_meth_pct.SRR10382875	weighted_meth_pct.SRR10382876	weighted_meth_pct.SRR10382877	weighted_meth_pct.SRR10382878
weighted_meth_pct.SRR10382875	1	-0.359553550807285	-0.689275286763588	-0.604317444466243
weighted_meth_pct.SRR10382876	-0.359553550807285	1	-0.120454690265136	-0.00240426206166918
weighted_meth_pct.SRR10382877	-0.689275286763588	-0.120454690265136	1	0.673536479407838
weighted_meth_pct.SRR10382878	-0.604317444466243	-0.00240426206166918	0.673536479407838	1
