chr	n_methyl	n_unmethyl	depth	weighted_meth_pct	sample_id	context	feature_id
4	1116553	167015161	168131714	0.664094223175528	SRR10382877	CpG	CpG|4
supercont3.32	53265	7818416	7871681	0.676666140307261	SRR10382877	CpG	CpG|supercont3.32
supercont3.33	55205	8142685	8197890	0.673404985917108	SRR10382877	CpG	CpG|supercont3.33
DS231675	1386	214450	215836	0.642154228210308	SRR10382877	CpG	CpG|DS231675
DS231677	45	10260	10305	0.436681222707424	SRR10382877	CpG	CpG|DS231677
DS231683	0	62	62	0	SRR10382877	CpG	CpG|DS231683
DS231687	0	45	45	0	SRR10382877	CpG	CpG|DS231687
DS231688	550	77147	77697	0.707878039049127	SRR10382877	CpG	CpG|DS231688
DS231693	265	40474	40739	0.650482338790839	SRR10382877	CpG	CpG|DS231693
1	1492094	229440168	230932262	0.646117604823877	SRR10382877	CHG	CHG|1
2	1121664	173317448	174439112	0.643011757592529	SRR10382877	CHG	CHG|2
3	976383	150470993	151447376	0.644701166694364	SRR10382877	CHG	CHG|3
4	1008648	154841928	155850576	0.647189138396255	SRR10382877	CHG	CHG|4
supercont3.32	60275	8757417	8817692	0.683568897620829	SRR10382877	CHG	CHG|supercont3.32
supercont3.33	68914	9870389	9939303	0.693348416885973	SRR10382877	CHG	CHG|supercont3.33
DS231675	698	116125	116823	0.597485084272789	SRR10382877	CHG	CHG|DS231675
DS231677	115	18924	19039	0.60402332055255	SRR10382877	CHG	CHG|DS231677
DS231683	0	38	38	0	SRR10382877	CHG	CHG|DS231683
DS231687	0	57	57	0	SRR10382877	CHG	CHG|DS231687
DS231688	377	56790	57167	0.659471373344762	SRR10382877	CHG	CHG|DS231688
DS231693	255	42065	42320	0.602551984877127	SRR10382877	CHG	CHG|DS231693
1	4555736	713182495	717738231	0.634735033363438	SRR10382877	CHH	CHH|1
2	3466967	544711929	548178896	0.632451746190536	SRR10382877	CHH	CHH|2
3	3004141	470341777	473345918	0.634660802123998	SRR10382877	CHH	CHH|3
4	3069050	481031915	484100965	0.63396899033242	SRR10382877	CHH	CHH|4
supercont3.32	360008	43154739	43514747	0.827324125313196	SRR10382877	CHH	CHH|supercont3.32
supercont3.33	460094	54095903	54555997	0.843342666801598	SRR10382877	CHH	CHH|supercont3.33
DS231675	4826	827093	831919	0.580104553448112	SRR10382877	CHH	CHH|DS231675
DS231677	4388	361706	366094	1.19859926685496	SRR10382877	CHH	CHH|DS231677
DS231683	1	95	96	1.04166666666667	SRR10382877	CHH	CHH|DS231683
DS231687	0	60	60	0	SRR10382877	CHH	CHH|DS231687
DS231688	1094	160207	161301	0.678235100836325	SRR10382877	CHH	CHH|DS231688
DS231693	651	113892	114543	0.568345512165737	SRR10382877	CHH	CHH|DS231693
1	3952090	258182060	262134150	1.50765934160047	SRR10382878	CpG	CpG|1
2	2927079	192837764	195764843	1.4952015669126	SRR10382878	CpG	CpG|2
3	2592942	169711954	172304896	1.50485683239088	SRR10382878	CpG	CpG|3
4	2671147	175451003	178122150	1.49961529209029	SRR10382878	CpG	CpG|4
supercont3.32	263567	19177928	19441495	1.35569306784278	SRR10382878	CpG	CpG|supercont3.32
supercont3.33	265545	20581773	20847318	1.27376097011616	SRR10382878	CpG	CpG|supercont3.33
DS231675	5291	358560	363851	1.45416667811824	SRR10382878	CpG	CpG|DS231675
DS231677	133	38886	39019	0.340859581229657	SRR10382878	CpG	CpG|DS231677
DS231683	0	77	77	0	SRR10382878	CpG	CpG|DS231683
DS231688	1306	73103	74409	1.75516402585709	SRR10382878	CpG	CpG|DS231688
DS231693	548	41546	42094	1.30184824440538	SRR10382878	CpG	CpG|DS231693
1	3459795	241056150	244515945	1.41495680373728	SRR10382878	CHG	CHG|1
2	2614225	183199503	185813728	1.4069062755148	SRR10382878	CHG	CHG|2
3	2279810	159208927	161488737	1.41174551386825	SRR10382878	CHG	CHG|3
4	2336566	163411407	165747973	1.40971015072383	SRR10382878	CHG	CHG|4
supercont3.32	295565	22373619	22669184	1.30381843475266	SRR10382878	CHG	CHG|supercont3.32
supercont3.33	339988	26644000	26983988	1.25996201895732	SRR10382878	CHG	CHG|supercont3.33
DS231675	3039	221846	224885	1.35135736042866	SRR10382878	CHG	CHG|DS231675
DS231677	937	129542	130479	0.718123222894106	SRR10382878	CHG	CHG|DS231677
DS231683	0	44	44	0	SRR10382878	CHG	CHG|DS231683
DS231688	936	54009	54945	1.7035217035217	SRR10382878	CHG	CHG|DS231688
DS231693	531	42801	43332	1.22542232068679	SRR10382878	CHG	CHG|DS231693
1	10494633	766715999	777210632	1.35029457497179	SRR10382878	CHH	CHH|1
2	8050233	591934625	599984858	1.34173936102901	SRR10382878	CHH	CHH|2
3	7032784	513895948	520928732	1.35004724600217	SRR10382878	CHH	CHH|3
4	6942110	512706708	519648818	1.33592336969388	SRR10382878	CHH	CHH|4
supercont3.32	1725062	116099687	117824749	1.46409138541853	SRR10382878	CHH	CHH|supercont3.32
supercont3.33	2117520	151295393	153412913	1.38027494465215	SRR10382878	CHH	CHH|supercont3.33
DS231675	20587	1649155	1669742	1.23294496994146	SRR10382878	CHH	CHH|DS231675
DS231677	50066	3067700	3117766	1.60582930213493	SRR10382878	CHH	CHH|DS231677
DS231683	0	128	128	0	SRR10382878	CHH	CHH|DS231683
DS231688	2388	151780	154168	1.54895957656582	SRR10382878	CHH	CHH|DS231688
DS231693	1226	115377	116603	1.05143092373267	SRR10382878	CHH	CHH|DS231693
